chrlbl,citations,definition,first_citation_date,first_citation_text,last_citation_date,last_citation_text,part_of_speech,word,family
,"[{'@first': 'yes', 'date': '1950', 'aut': 'Goldin', 'tit': 'DAUL', 'num': '158/1', '#text': 'et al. Piss-cutter [...] Any extraordinary person or thing; anything affording extreme satisfaction or dissatisfaction; an unusual occurrence or predicament. ‘That guy Solly is sure a pisser on the cannon’ (picking pockets)'}, {'date': '1973', 'aut': 'S. Ace', 'tit': 'Stand On It', 'edn': '1979', 'num': '94', '#text': 'He knew right away you’d grow up to be a regular piss-cutter'}, {'@class': 'N331', 'date': '1977', 'tit': 'Maledicta', 'num': '13', 'i': 'piss-cutter', '#text': '1 (Summer) A clever person is sometimes called a , presumably from the winter duties of bellboys in oldtime country hotels'}, {'date': '1989', 'aut': 'H. Rawson', 'tit': 'Dict. of Invective', 'edn': '1991', 'num': '302', 'i': 'pisscutter', '#text': ', a term of admiration for someone or something of excellence'}, {'date': '1993', 'aut': 'B. Moore', 'tit': 'Lex. of Cadet Lang.', 'num': '270', 'b': 'piss cutter', '#text': 'a general term of praise or avowal of enthusiasm'}]",an admirable or exceptional person,1950,et al. Piss-cutter [...] Any extraordinary person or thing; anything affording extreme satisfaction or dissatisfaction; an unusual occurrence or predicament. ‘That guy Solly is sure a pisser on the cannon’ (picking pockets),1993.0,a general term of praise or avowal of enthusiasm,compound,piss-cutter,piss
,"[{'@first': 'yes', 'date': '1935', 'aut': 'J. Conroy', 'tit': 'World to Win', 'num': '296', '#text': 'He kept himself busy figuring [...] the dimensions of a boat he planned, and it would surely be a jimdandy, a pisscutter'}, {'date': '1935', 'aut': 'C. Odets', 'tit': 'Awake and Sing!', 'num': 'II ii', 'scaps': ['myron', 'moe'], '#text': ': Now isn’t that funny, Big Boy?’ : It’s a pisscutter!'}]",an outstanding or excellent thing,1935,"He kept himself busy figuring [...] the dimensions of a boat he planned, and it would surely be a jimdandy, a pisscutter",1935.0,": Now isn’t that funny, Big Boy?’ : It’s a pisscutter!",compound,piss-cutter,piss
,"{'@first': 'yes', 'date': '1953', 'aut': 'L. Uris', 'tit': 'Battle Cry', 'edn': '1964', 'num': '191', '#text': 'Burnside and McQuade had gone on a real pisscutter the night before'}","a drunken spree, a binge",1953,Burnside and McQuade had gone on a real pisscutter the night before,1953.0,Burnside and McQuade had gone on a real pisscutter the night before,compound,piss-cutter,piss
,"{'@first': 'yes', 'date': '1953', 'aut': 'L. Uris', 'tit': 'Battle Cry', 'edn': '1964', 'num': '471', '#text': 'The Japs are staging for a pisscutter'}",a major confrontation,1953,The Japs are staging for a pisscutter,1953.0,The Japs are staging for a pisscutter,compound,piss-cutter,piss
late 19C–1940s,"[{'@first': 'yes', 'date': '1890–1904', 'aut': 'Farmer & Henley', 'tit': 'Sl. and Its Analogues'}, {'date': '1942', 'aut': 'Berrey & Van den Bark', 'tit': 'Amer. Thes. Sl.'}]",a public house,1890,,1942.0,,compound,piss-factory,piss
2000s,"{'@first': 'yes', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}",an insignificant person,2003,,2003.0,,compound,pissfart,piss
1970s+,"[{'@class': 'us', '@first': 'yes', 'date': '1970', 'aut': 'J. Goodall', 'tit': 'Free Poetry', 'num': 'n.p.', 'org': 'OED', '#text': '‘Massive Probl. Re-entry’ in  Apr. Cocks of coke squeezed like viscid buckshot and hate-crumbs from the piss-flaps of the Klan'}, {'@class': 'N331', 'date': '1974–5', 'aut': 'B. Humphries', 'tit': ['Barry McKenzie', 'Complete Barry McKenzie'], 'edn': '1988', 'num': '115', '#text': '[comic strip] in She’d have to have a pair of piss-flaps on her like Gene Autrey’s saddle-bags'}, {'date': '1976', 'aut': 'D. Ireland', 'tit': 'Glass Canoe', 'edn': '1982', 'num': '188', '#text': 'Watch it, boy, I’ve got very big piss flaps'}, {'date': '1992', 'aut': 'K. Lette', 'tit': 'Llama Parlour', 'num': '91', '#text': 'I’d come from a country where the blokes called a vagina a ‘muckhole’ and the labia majora ‘piss flaps’'}, {'date': '1997–2002', 'tit': 'Alt. Eng. Dict.', '#text': '[Internet] piss flappers (compound noun, count) women’s labia. Very rude expression'}, {'@class': 'N331', 'date': '1998', 'aut': 'I. Welsh', 'tit': 'Filth', 'num': '46', '#text': 'A leather alcoholic guy with [...] a red face.. Jowls like piss-flaps'}, {'date': '2002', 'con': '1991', 'aut': 'W. Self', 'tit': 'Dorian', 'num': '115', '#text': 'He’s like some hideous old maid, who’s terrified a roach is going to crawl into her piss flaps'}]",the labia,1970,‘Massive Probl. Re-entry’ in  Apr. Cocks of coke squeezed like viscid buckshot and hate-crumbs from the piss-flaps of the Klan,2002.0,"He’s like some hideous old maid, who’s terrified a roach is going to crawl into her piss flaps",compound,pissflaps,piss
2000s,"{'@first': 'yes', 'date': '2006', 'aut': 'D. Mitchell', 'tit': 'Black Swan Green', 'num': '91', 'i': 'Piss Flaps', '#text': 'I says, ‘You’re gonna fuckin’ regret that, .’'}",a term of abuse,2006,"I says, ‘You’re gonna fuckin’ regret that, .’",2006.0,"I says, ‘You’re gonna fuckin’ regret that, .’",compound,pissflaps,piss
2000s,"{'@first': 'yes', 'date': '2000', 'tit': ['Ebonics Primer', 'www.dolemite.com'], 'b': 'piss freak', 'i': 'Jermaine be a piss freak, he thank he a toilet stool!', '#text': 'at  [Internet]  Definition: a person who derives sexual satisfaction from the act of another person urinating on them. Example:'}",a person who derives sexual satisfaction from being urinated on,2000,at  [Internet]  Definition: a person who derives sexual satisfaction from the act of another person urinating on them. Example:,2000.0,at  [Internet]  Definition: a person who derives sexual satisfaction from the act of another person urinating on them. Example:,compound,piss freak,piss
1960s+,"[{'@first': 'yes', 'date': '1965', 'aut': 'C. Brown', 'tit': 'Manchild in the Promised Land', 'edn': '1969', 'num': '289', '#text': 'You know how if a guy wakes up in the morning, and he’s a young guy, he usually has a piss hard-on'}, {'date': '1972', 'aut': 'R.A. Wilson', 'tit': 'Playboy’s Book of Forbidden Words'}, {'date': '1976', 'aut': 'D. Ireland', 'tit': 'Glass Canoe', 'edn': '1982', 'num': '183', '#text': 'He hadn’t gone down yet, especially with half of him being a piss-horn'}, {'@class': 'new us', 'date': '1980', 'aut': 'H. Stevens', 'tit': 'Incest daughter', 'num': 'cap. 2', '#text': 'I just have to piss. That’s all. All I’ve got is a piss hard-on'}, {'date': '2015', 'aut': 'S. King', 'tit': 'Finders Keepers', 'edn': '2016', 'num': '3', '#text': '‘Old fella’s got a woody. Must have been having one hell of a dream.’ ‘Just a piss hard on‘'}]","the erection with which a man awakes, due to the need to urinate as much as the desire for sex",1965,"You know how if a guy wakes up in the morning, and he’s a young guy, he usually has a piss hard-on",2015.0,‘Old fella’s got a woody. Must have been having one hell of a dream.’ ‘Just a piss hard on‘,compound,piss hard-on,piss
mid-17C; 1940s+,"[{'@class': 'us', '@first': 'yes', 'date': '1665', 'aut': 'Shurtleff', 'tit': 'Rec. Governor & Company of Mass. Bay in New Eng. (1853-54)', 'num': '216', '#text': 'Narr. Case John Porter, Jun. in  IV  He called his mother Rambeggur, Gammar Shithouse, Gammar Pissehouse [...] & these abusive names he vsed frequently'}, {'date': '1942', 'aut': 'Berrey & Van den Bark', 'tit': 'Amer. Thes. Sl.'}, {'date': '1947', 'aut': 'N. Cassady', 'src': 'Charters', 'edn': '1993', 'num': '191', '#text': 'letter in Edith (her sister) and Patricia (my love) walked out of the pisshouse hand in hand'}, {'date': '1962', 'aut': 'A. La Guma', 'tit': 'Walk in the Night', 'edn': '1968', 'num': '4', '#text': 'Every time a man goes to the piss-house he starts moaning. [...] Well, he picked on me for going for a leak and I told him to go to hell'}, {'date': '1963', 'aut': 'C. Wood', 'tit': 'Cockade', 'edn': '1965', 'num': 'I iii', '#text': '‘Prisoner and Escort’ in Everywhere – the slash house even'}, {'@class': 'N331', 'date': '1965', 'aut': 'G.R. Turner', 'tit': 'A Waste of Shame', 'num': '28', '#text': 'Those other ratbags couldn’t keep up with the maintenance on a pisshouse'}, {'@class': 'N331', 'date': '1967–8', 'aut': 'Baker', 'tit': 'CUSS', 'num': '171', 'i': 'Piss house', '#text': 'et al.  Washroom'}, {'@class': 'N331', 'date': '1969', 'aut': 'P. Boyle', 'tit': 'All Looks Yellow to the Jaundiced Eye', 'num': '55', '#text': 'A copper is not at his best kneeling on the floor of a piss house with his flute hanging out'}, {'date': '1972', 'aut': 'C. Bukowski', 'tit': 'Erections, Ejaculations etc.', 'num': '410', '#text': 'Nobody wants to lay on the floor of a pisshouse'}, {'@class': 'us', 'date': '1982', 'aut': 'M. Seide', 'tit': 'Common Wilderness', 'num': '656', '#text': 'Just brand it on your pecker with a glowing butt the next time you sneak off to the pisshouse to do your little thing'}, {'@class': 'new', 'date': '1984', 'con': 'WW2', 'aut': 'T. Jones', 'tit': 'Heart of Oak', '#text': '[ebook] The old cunt — he ought to be shot / And tied to the wall of a piss-house, a piss-house / And left there to fuckingwell rot!'}, {'@class': 'new', '@first': 'yes', 'date': '1996', 'aut': 'P. Temple', 'tit': 'Bad Debts', 'edn': '2012', '#text': '[ebook] Danny come in, full of dough, drinking Jim Beam, in and out of the pisshouse'}, {'date': '2001', 'aut': 'A. Sillitoe', 'tit': 'Birthday', 'num': '66', '#text': 'Better not, or I’ll be looking for a piss-house every five minutes'}]",a lavatory,1665,"Narr. Case John Porter, Jun. in  IV  He called his mother Rambeggur, Gammar Shithouse, Gammar Pissehouse [...] & these abusive names he vsed frequently",2001.0,"Better not, or I’ll be looking for a piss-house every five minutes",compound,pisshouse,piss
1930s–40s,"[{'@first': 'yes', 'date': '1931', 'aut': 'D. Maurer', 'tit': 'AS', 'num': '112', 'i': 'Piss-house', '#text': '‘Argot of the Und.’  VII:2 , n., The police station'}, {'date': '1942', 'aut': 'Berrey & Van den Bark', 'tit': 'Amer. Thes. Sl.'}, {'date': '1949', 'aut': 'Monteleone', 'tit': 'Criminal Sl.', 'edn': 'rev. edn'}]",a police station,1931,"‘Argot of the Und.’  VII:2 , n., The police station",1949.0,,compound,pisshouse,piss
1960s,"{'@class': 'us', '@first': 'yes', 'date': '1969', 'aut': 'Budd Schulberg', 'tit': 'Sanctuary V', 'num': '249', '#text': '[...] my seven months in this ambassadorial pisshouse'}",an unpleasant place,1969,[...] my seven months in this ambassadorial pisshouse,1969.0,[...] my seven months in this ambassadorial pisshouse,compound,pisshouse,piss
mid-18C,"{'@first': 'yes', 'date': '1751', 'aut': 'Smollett', 'tit': 'Peregrine Pickle', 'edn': '1964', 'num': '20', '#text': 'He [...] did not scruple to damn her for a squinting, block-faced, chattering piss-kitchen; and immediately after drank despair to all old maids'}",a kitchen maid,1751,"He [...] did not scruple to damn her for a squinting, block-faced, chattering piss-kitchen; and immediately after drank despair to all old maids",1751.0,"He [...] did not scruple to damn her for a squinting, block-faced, chattering piss-kitchen; and immediately after drank despair to all old maids",compound,piss-kitchen,piss
late 18C–early 19C,"[{'@first': 'yes', 'date': ['1785', '1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]",a heavy drinker,"['1785', '1788', '1796']",,1823.0,,compound,piss-maker,piss
1990s+,"{'@first': 'yes', 'date': '1993–2003', 'aut': 'ghost', 'tit': 'Urban Dict.', 'b': 'piss pipe', 'i': 'Back in a minute. I have to drain the piss pipe', '#text': 'on  [Internet]  The penis.'}",the male urinary tract,1993,on  [Internet]  The penis.,1993.0,on  [Internet]  The penis.,compound,piss pipe,piss
late 17C–early 19C,"[{'@first': 'yes', 'date': '1691', 'aut': 'Ebsworth', 'tit': 'Merry Drollery Compleat', 'edn': '1875', 'num': '277', 'i': 'Galen', '#text': '‘A medicine for the Quartan Ague’ in The Aphorisms of  I count but as straws, / Profound Pispot-peepers be you all mure'}, {'@class': 'new', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'u': 'Piss Prophet', '#text': 'ms. additions , a Physician who judges by the Urine'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}]",a physician who makes all their diagnoses on the basis of inspecting the patient’s urine,1691,"‘A medicine for the Quartan Ague’ in The Aphorisms of  I count but as straws, / Profound Pispot-peepers be you all mure",1823.0,,compound,piss prophet,piss
late 18C+,"[{'@class': 'new', '@first': 'yes', 'circa': '1786', 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'num': 'n.p.', 'scaps': 'Piss-Proud', '#text': 'ms. additions . Having a false erection of the Penis. That old fellow thought he had an erection, but his — was only piss-proud'}, {'date': ['1788', '1796'], 'aut': 'Grose', 'tit': 'Classical Dict. of the Vulgar Tongue', 'edn': '2nd, 3rd edn', 'num': 'n.p.', 'scaps': 'Piss-proud', '#text': '. Having a false erection. That old fellow thought he had an erection, but his — was only piss-proud; said of any old fellow who marries a young wife'}, {'date': '1811', 'tit': 'Lex. Balatronicum'}, {'date': '1823', 'aut': 'Egan', 'tit': 'Grose’s Classical Dict. of the Vulgar Tongue'}, {'date': '1989', 'aut': 'H. Rawson', 'tit': 'Dict. of Invective', 'edn': '1991', 'num': '302', 'i': 'piss proud.', '#text': 'A priapism, esp. upon awakening'}, {'date': '1999', 'tit': ['Roger’s Profanisaurus 3', 'Viz'], 'num': '22', 'b': 'piss-proud', 'i': ['adj', 'dawn horn', 'morning glory'], '#text': 'in  98 Oct.  . To be the owner of a ;'}]","of a man, having an erection on waking",1786,"ms. additions . Having a false erection of the Penis. That old fellow thought he had an erection, but his — was only piss-proud",1999.0,in  98 Oct.  . To be the owner of a ;,compound,piss-proud,piss
1980s+,"[{'@class': 'new19C', '@first': 'yes', 'date': '1992', 'aut': 'M. Coleman', 'tit': 'Fatty', 'num': '239', '#text': '‘What’s going on, Alex?’ he asked, ‘piss stop?’‘No lud,’ came the reply, ‘lunch’'}, {'date': '2002', 'aut': '‘Shitter’', 'tit': 'Happydrunk.com', '#text': '‘Drinking Tales’  [Internet] Before making the trek up to the field we decided to make a piss stop in the school. The closest bathroom to the entrance we went in had 2 urinals and 1 toilet'}]","a visit to the lavatory, esp. during a drive or drinking session",1992,"‘What’s going on, Alex?’ he asked, ‘piss stop?’‘No lud,’ came the reply, ‘lunch’",2002.0,‘Drinking Tales’  [Internet] Before making the trek up to the field we decided to make a piss stop in the school. The closest bathroom to the entrance we went in had 2 urinals and 1 toilet,compound,piss stop,piss
20C+,"[{'@first': 'yes', 'date': '1977', 'con': '1941', 'aut': 'R. Beilby', 'tit': 'Gunner', 'num': '17', '#text': 'Get stuffed, Piss-tank!'}, {'@class': 'N331', 'date': '1980', 'aut': 'Barltrop  &  Wolveridge', 'tit': 'Muvver Tongue', 'num': '92', '#text': 'A habitually boozy married man is judged severely. He is a piss-tank’'}, {'date': '1986', 'aut': 'T. Winton', 'tit': 'That Eye, The Sky', 'num': '39', '#text': 'Ya mum’s a pisstank'}]",a drunkard,1977,"Get stuffed, Piss-tank!",1986.0,Ya mum’s a pisstank,compound,piss-tank,piss
1900s,"{'@first': 'yes', 'date': '1968', 'con': {'i': 'c', '#text': '.1900'}, 'aut': 'J. Thompson', 'tit': 'King Blood', 'edn': '1989', 'num': '79', '#text': 'A real piss-walloper, ain’t she? A rip-roarin’ son-of-a-bitch!'}","something remarkable, impressive",1968,"A real piss-walloper, ain’t she? A rip-roarin’ son-of-a-bitch!",1968.0,"A real piss-walloper, ain’t she? A rip-roarin’ son-of-a-bitch!",compound,piss-walloper,piss
2000s,"{'@first': 'yes', 'date': '2006', 'aut': 'G. Pelecanos', 'tit': 'Night Gardener', 'num': '121', '#text': 'Johnson had been drinking something other than this pisswater'}",a weak drink,2006,Johnson had been drinking something other than this pisswater,2006.0,Johnson had been drinking something other than this pisswater,compound,piss-water,piss
2010s,"{'@class': 'new', '@first': 'yes', 'date': '2016', 'tit': 'Twitter', '#text': '5 July [Internet] You and your dirty mates fucked it up, you Pob-faced pissweasel'}",general term of abuse,2016,"5 July [Internet] You and your dirty mates fucked it up, you Pob-faced pissweasel",2016.0,"5 July [Internet] You and your dirty mates fucked it up, you Pob-faced pissweasel",compound,piss-weasel,piss
1970s,"[{'@first': 'yes', 'date': '1975', 'aut': 'T. Berger', 'tit': 'Sneaky People', 'edn': '1980', 'num': '161', '#text': 'She took to going about in her kimono, bare-ass underneath [...] and also sparkled the eyes of the little piss-willie who delivered groceries'}, {'@class': 'N331', 'date': '1977', 'tit': 'Maledicta', 'num': '13', 'i': ['piss-willie', 'has shit in his blood'], '#text': '1 (Summer) A person that you don’t like is often described in terms of various bodily parts or excretions: [...] If cowardly as well, he is a  or'}, {'date': '1986', 'aut': 'P. Slabolepszy', 'tit': 'Mooi Street', 'edn': '1994', 'num': '133', '#text': '‘Boo to the Moon’ in You know when Napoleon sent a piss-willy little telegram to Bismarck, but I bet you know stuff-all about what happened'}]","a coward, an insignificant person; also attrib",1975,"She took to going about in her kimono, bare-ass underneath [...] and also sparkled the eyes of the little piss-willie who delivered groceries",1986.0,"‘Boo to the Moon’ in You know when Napoleon sent a piss-willy little telegram to Bismarck, but I bet you know stuff-all about what happened",compound,piss-willie,piss
1990s+,"{'@first': 'yes', 'date': '1993', 'aut': 'J. Mowry', 'tit': 'Six Out Seven', 'edn': '1994', 'num': '41', '#text': 'Only a real brother be such a piss-makin pain in my ass!'}",infuriating,1993,Only a real brother be such a piss-makin pain in my ass!,1993.0,Only a real brother be such a piss-makin pain in my ass!,compound,piss-making,piss
1970s+,"{'@first': 'yes', 'date': '1976', 'aut': 'Allsopp', 'tit': 'Dict. Carib. Eng. Usage', 'edn': '1996', '#text': 'cited in'}","to shatter illusions, to ruin an otherwise satisfactory situation",1976,cited in,1976.0,cited in,compound,piss-parade,piss
early 19C,"{'@first': 'yes', 'date': '1823', 'aut': '‘Jon Bee’', 'tit': 'Dict. of the Turf, the Ring, the Chase, etc.'}",gin mixed with marmalade topped up with boiling water,1823,,1823.0,,compound,piss-quick,piss
1970s+,"[{'@first': 'yes', 'date': '1978', 'con': '1940s', 'aut': 'J.G. Farrell', 'tit': 'Singapore Grip', 'num': '179', '#text': 'They produce this piss-awful rubber but that’s their business'}, {'date': '1988', 'aut': 'McGill', 'tit': 'Dict. of Kiwi Sl.', 'num': '84/1', 'b': 'piss awful', '#text': 'very unpleasant'}, {'date': '2000', 'tit': 'Guardian', 'num': '18', '#text': 'Rev. 21 Jan. Grunge deliberately looked and sounded as dingy, abrasive and piss-awful as its perpetrators'}, {'@class': 'N331', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.', '#text': '[as cit. 1988]'}]","very bad, very unpleasant",1978,They produce this piss-awful rubber but that’s their business,2003.0,[as cit. 1988],compound,piss-awful,piss
