chrlbl,citations,definition,part_of_speech,word,first_citation_date,first_citation_text,last_citation_date,last_citation_text,family
1970s+,"[{'@first': 'yes', 'date': '1976', 'aut': 'L. Bangs', 'tit': 'Psychotic Reactions', 'edn': '1988', 'num': '196', 'i': 'more', '#text': 'in Which makes him  human than the rest of those MOR dicknoses'}, {'date': '1984', 'tit': 'Tracks', 'num': '5', 'org': 'Moore 1993', '#text': '(Aus.) Aug. And this dicknose gives advice to all ‘great guys’ out there to select your ‘scrubber’, or ‘bushie’ before you start coming out of your pretentious shell and acting like a typical macho-yob-aussie'}]",a general term of derision,compound,dicknose,1976,in Which makes him  human than the rest of those MOR dicknoses,1984,"(Aus.) Aug. And this dicknose gives advice to all ‘great guys’ out there to select your ‘scrubber’, or ‘bushie’ before you start coming out of your pretentious shell and acting like a typical macho-yob-aussie",dick
1940s+,"[{'@first': 'yes', 'date': '1941', 'aut': 'G. Legman', 'src': 'Henry', 'tit': 'Sex Variants', '#text': '‘Lang. of Homosexuality’ Appendix VII in'}, {'date': '1965', 'tit': 'Guild Dict. Homosexual Terms', 'num': ['11', '37'], 'scaps': ['dick peddler', 'prick peddler'], '#text': '(n.): A male prostitute with homosexual clients. [Ibid.]  (n.): The male prostitute'}, {'date': '1972', 'aut': 'B. Rodgers', 'tit': 'Queens’ Vernacular', 'num': '111', 'b': ['dick peddler', 'prick peddler'], '#text': 'a male prostitute [...]  [...]'}, {'date': '1985', 'aut': 'K. Vacha', 'tit': 'Quiet Fire', 'num': '74', '#text': 'The little male prostitute, prick peddler, if you say ‘Hmmm, you’re not what I’m looking for, fella, I like the fems, the ladies,’ they quickly find that maybe they could do that'}, {'@class': 'N331', 'date': '1986–7', 'tit': 'Maledicta', 'num': '146', 'b': ['boy', 'come-on boy', 'peg house', 'show house', 'dick-peddler', 'floater', 'handgig', 'live one', 'muscle in', 'trade'], 'i': 'gay', '#text': 'IX Many of his [i.e. G. Legman’s] other terms (or,and,,,,,,)prove he used to know the words and music of prostitute slang but is now out of date'}]",a male prostitute who takes only active roles with his clients,compound,dick peddler,1941,‘Lang. of Homosexuality’ Appendix VII in,1986,"IX Many of his [i.e. G. Legman’s] other terms (or,and,,,,,,)prove he used to know the words and music of prostitute slang but is now out of date",dick
1990s,"{'@class': 'new19A', '@first': 'yes', 'date': '1993', 'tit': 'Aus. Word Map', 'b': 'dick-pointers', '#text': '[Internet]  speedo style bathers'}",a ‘speedo’ type of male bathing costume,compound,dick-pointers,1993,[Internet]  speedo style bathers,1993,[Internet]  speedo style bathers,dick
,"{'@first': 'yes', 'date': '2000', 'aut': 'F.X. Toole', 'tit': 'Rope Burns', 'num': '211', '#text': 'Fuck wit Air Jordan you find you ass scatter around town like used dick sacks on Saturday night'}",a contraceptive sheath,compound,dick sack,2000,Fuck wit Air Jordan you find you ass scatter around town like used dick sacks on Saturday night,2000,Fuck wit Air Jordan you find you ass scatter around town like used dick sacks on Saturday night,dick
,"[{'@first': 'yes', 'date': '2001', 'aut': 'Aaron', 'tit': 'Show Must Go On', '#text': '[Internet] Aaron tried to imagine a scientist rolling a dog on its back and powdering its balls and dick sack'}, {'date': '2002', '#text': 'Speed Bump Mannequin [Internet] She’d bashed my dick sack but good! Karen pulled my underwear down before I could think about it any further. ‘Geez, they’re kinda reddish purple. Is that the normal color a man’s things are?’'}]",the scrotum,compound,dick sack,2001,[Internet] Aaron tried to imagine a scientist rolling a dog on its back and powdering its balls and dick sack,2002,"Speed Bump Mannequin [Internet] She’d bashed my dick sack but good! Karen pulled my underwear down before I could think about it any further. ‘Geez, they’re kinda reddish purple. Is that the normal color a man’s things are?’",dick
1990s+,"{'@first': 'yes', 'date': '1999', 'aut': 'A. O’Hagan', 'tit': 'Our Fathers', 'num': '8', '#text': 'Total wanker. Dickshaft. A right good kicking he’s needing'}",a general derog. description,compound,dickshaft,1999,Total wanker. Dickshaft. A right good kicking he’s needing,1999,Total wanker. Dickshaft. A right good kicking he’s needing,dick
1980s+,"{'@first': 'yes', 'date': '1984', 'tit': 'Maledicta', 'num': '236', '#text': 'in  VIII Without a good set of choppers, you can’t do dick-shit in this town'}","absolutely nothing; always used with a qualifying negative v., e.g.  etc",compound,dick shit,1984,"in  VIII Without a good set of choppers, you can’t do dick-shit in this town",1984,"in  VIII Without a good set of choppers, you can’t do dick-shit in this town",dick
1980s+,"{'@first': 'yes', 'date': '1983', 'aut': 'P. Dexter', 'tit': 'God’s Pocket', 'edn': '1986', 'num': '290', '#text': 'There were as many dick shrivelers that wanted to ban nuclear sites and love the brother as there were that wanted to bomb Russia'}",an unpleasant person,compound,dick-shriveler,1983,There were as many dick shrivelers that wanted to ban nuclear sites and love the brother as there were that wanted to bomb Russia,1983,There were as many dick shrivelers that wanted to ban nuclear sites and love the brother as there were that wanted to bomb Russia,dick
1980s,"[{'@first': 'yes', 'date': '1985', 'con': '1968', 'aut': 'D.A. Dye', 'tit': 'Citadel', 'edn': '1989', 'num': '90', '#text': 'This particular piece of shit is worth about a thousand bucks. Or it was before you got your dick-skinners on it'}, {'@class': 'new19B', 'date': '2019', 'aut': 'N. Walker', 'tit': 'Cherry', 'num': '59', '#text': 'Our hands were dick skinners. Our mouths were cock holsters. Our enemy was Haji. Our friends were battle buddies'}]",hands,compound,dick-skinners,1985,This particular piece of shit is worth about a thousand bucks. Or it was before you got your dick-skinners on it,2019,Our hands were dick skinners. Our mouths were cock holsters. Our enemy was Haji. Our friends were battle buddies,dick
1990s+,"{'@first': 'yes', 'date': '2001', 'tit': 'OnLine Dict. of Playground Sl.', 'b': {'i': 'adj.', '#text': 'dicksplash'}, '#text': '[Internet]  Person of diminished intelligence or capability. e.g.applied to a person who performs an act incorrectly'}","a semen stain; thus, an incompetent, unpleasant, unpopular person",compound,dicksplash,2001,[Internet]  Person of diminished intelligence or capability. e.g.applied to a person who performs an act incorrectly,2001,[Internet]  Person of diminished intelligence or capability. e.g.applied to a person who performs an act incorrectly,dick
1960s+,"{'@first': 'yes', 'date': '1967', 'aut': 'P. Thomas', 'tit': 'Down These Mean Streets', 'edn': '1970', 'num': '157', '#text': 'Ah hopes yuh busted his dick string'}",the notional governor of a man’s ability to attain an erection,compound,dickstring,1967,Ah hopes yuh busted his dick string,1967,Ah hopes yuh busted his dick string,dick
2000s,"{'@first': 'yes', 'date': '2001', 'tit': 'OnLine Dict. of Playground Sl.', 'b': {'i': 'adj.', '#text': 'dickstring'}, '#text': '[Internet]  someone stupid and deserving of contempt'}",a general insult,compound,dickstring,2001,[Internet]  someone stupid and deserving of contempt,2001,[Internet]  someone stupid and deserving of contempt,dick
1990s+,"[{'@first': 'yes', 'date': '1990', 'aut': 'Spike Lee', 'tit': 'Mo’ Better Blues', '#text': '[film script] It’s a dick thang . . . a dick thang'}, {'@class': 'N331', 'date': '1991', 'aut': 'Lord Finesse', '#text': '‘Praise the Lord’ [lyrics] Girls don’t try to figure me out, cause it’s a dick thang'}, {'date': '1998', 'tit': 'Afrikan Students Union', '#text': '(Ohio University) 20 Aug. [Internet] I believe it was Bell Hooks who said: ‘If the reclamation of the Black Race gets translated into a dick thang, then we’re in trouble.’'}]",something characteristically associated with men,compound,dick thang,1990,[film script] It’s a dick thang . . . a dick thang,1998,"(Ohio University) 20 Aug. [Internet] I believe it was Bell Hooks who said: ‘If the reclamation of the Black Race gets translated into a dick thang, then we’re in trouble.’",dick
1990s+,"[{'@first': 'yes', 'date': '1991', 'aut': 'Eble', 'tit': 'Campus Sl.', '#text': 'Fall'}, {'date': '1996', 'aut': 'Eble', 'tit': 'Sl. and Sociability', 'num': '51', 'i': ['Dick', 'dick thing'], '#text': ', on the other hand, retains clear association with maleness in the expression , which means ‘characteristically associated with males’'}]",something that concerns men and/or masculinity,compound,dick thing,1991,Fall,1996,", on the other hand, retains clear association with maleness in the expression , which means ‘characteristically associated with males’",dick
None,"[{'@first': 'yes', 'date': '1989', 'aut': 'P. Munro', 'tit': 'Sl. U.'}, {'date': '1997–2002', 'tit': 'Alt. Eng. Dict.', '#text': '[Internet] dickwad (adjective) someone who acts like a jerk. Asshole.‘Eat me, you fucking dickwad.’'}, {'date': '2002', 'con': '1998–2000', 'aut': 'J. Lerner', 'tit': 'You Got Nothing Coming', 'num': '7', 'i': ['mistake', 'with', 'capital'], '#text': 'There’s no , dickwad. You were arrested on Murder One  a deadly weapon. That’s a  crime in this state'}, {'date': '2005', 'tit': 'Mad', 'num': '45', '#text': 'mag. May Somehow convincing the world that your nickname should be ‘The Donald’ instead of more appropriate monikers like ‘The Dickwad’ [or] ‘The Deadbeat’'}, {'@class': 'new18D', 'date': '2007', 'aut': 'L. Redhead', 'tit': 'Cherry Pie', '#text': '[ebook] ‘This smarmy little dickwad, Nolan, thinks Andi’s pissed off’'}, {'@class': 'new17C', 'date': '2017', 'aut': 'D. Winslow', 'tit': 'The Force', '#text': '[ebook] ‘Maybe you have me confused with one of your usual Southern District, prep school Ivy League dickwads’'}]","a fool, an idiot, an unpleasant person",compound,dickwad,1989,,2017,"[ebook] ‘Maybe you have me confused with one of your usual Southern District, prep school Ivy League dickwads’",dick
,"{'@first': 'yes', 'date': '2001', 'aut': 'J. Stahl', 'tit': 'Plainclothes Naked', 'edn': '2002', 'num': '140', '#text': 'Nothing enraged an abusee like having some male cop buddy up to her dickwad boyfriend or husband'}",attrib. use of sense 1,compound,dickwad,2001,Nothing enraged an abusee like having some male cop buddy up to her dickwad boyfriend or husband,2001,Nothing enraged an abusee like having some male cop buddy up to her dickwad boyfriend or husband,dick
2010s,"{'@class': 'new', '@first': 'yes', 'date': '2016', 'tit': 'Guardian', '#text': ""in  30 June [Internet] I don't know who coined it, but I saw Gove referred to as ‘dickweasel’. Rather appropriate, don’t you think?""}",a general derog. description,compound,dickweasel,2016,"in  30 June [Internet] I don't know who coined it, but I saw Gove referred to as ‘dickweasel’. Rather appropriate, don’t you think?",2016,"in  30 June [Internet] I don't know who coined it, but I saw Gove referred to as ‘dickweasel’. Rather appropriate, don’t you think?",dick
1980s+,"[{'@first': 'yes', 'date': '1989', 'aut': 'P. Munro', 'tit': 'Sl. U.'}, {'date': '1993', 'aut': 'Eble', 'tit': 'Campus Sl.', 'num': '2', '#text': 'Oct. dickweed – socially inept person, loser'}, {'date': '1997', 'tit': 'Mad', 'num': '13', '#text': 'mag. Apr. Of course, give her a hand, dickweed!'}, {'date': '1997', 'tit': 'Da Bomb', 'num': '5', 'scaps': 'jerk', '#text': 'Summer Supplement Dickweed (n.) A'}, {'date': '2001', 'aut': 'S. King', 'tit': 'Dreamcatcher', 'num': '152', '#text': 'Come on, you dickweed'}, {'@class': 'new', 'date': '2011', 'aut': 'M.C. Funk', 'tit': 'Pulp Ink', '#text': '‘You Never Can Tell’ in  [ebook] He was the man with a plan [...] Not his dickweed son'}]",a fool; also attrib.,compound,dickweed,1989,,2011,‘You Never Can Tell’ in  [ebook] He was the man with a plan [...] Not his dickweed son,dick
1990s+,"{'@first': 'yes', 'date': '1997', 'tit': ['Roger’s Profanisaurus', 'Viz'], 'num': 'n.p.', 'b': 'dick wheat', 'i': 'dick weed', '#text': 'in  87 Dec.  US n. Male pubic hair. Also'}",the pubic hair,compound,dickweed,1997,in  87 Dec.  US n. Male pubic hair. Also,1997,in  87 Dec.  US n. Male pubic hair. Also,dick
2000s,"{'@first': 'yes', 'date': '2003', 'aut': 'McGill', 'tit': 'Reed Dict. of N.Z. Sl.'}","a fool, lit. a masturbator",compound,dickwhacker,2003,,2003,,dick
1990s+,"{'@first': 'yes', 'date': '1994', 'aut': 'G. Smitherman', 'tit': 'Black Talk'}","of a woman, so besotted with her lover that she allows herself to be exploited and generally treated badly",compound,dick-whupped,1994,,1994,,dick
1990s+,"[{'@first': 'yes', 'date': '1991', 'aut': 'M. Myers', 'tit': 'Wayne’s World', 'scaps': 'Wayne', '#text': 'et al.  [film script] : My take on it? I would have to say a dickwipe says what'}, {'@class': 'N331', 'date': '1999', 'aut': 'T. Dorsey', 'tit': 'Florida Roadkill', 'num': '151', '#text': 'You stupid dickwipe!'}, {'date': '2002', 'aut': 'T. Dorsey', 'tit': 'Triggerfish Twist', 'edn': '2002', 'num': '287', '#text': 'Wait till I get my hands on the little dick-wipe!'}]",a general term of abuse,compound,dickwipe,1991,et al.  [film script] : My take on it? I would have to say a dickwipe says what,2002,Wait till I get my hands on the little dick-wipe!,dick
1990s+,"{'@first': 'yes', 'date': '1999', 'aut': 'G. Seal', 'tit': 'Lingo', 'num': '104', 'scaps': 'dick-wipe/knob/head/wit, doodle-head/brain', '#text': 'Generalised insults included'}",a general insult,compound,dickwit,1999,Generalised insults included,1999,Generalised insults included,dick
